bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.75,CLS,ols_std,N,0.1847177887609327,0.013978210209240227,10
development,0.0,0.75,CLS,ols_std,N_long_C1,-0.0046750499307622465,0.0018348871825710413,10
development,0.0,0.75,CLS,ridge,M,-0.004927630217075616,0.003966667351719992,10
development,0.0,0.75,CLS,ridge,N,0.18471788841425665,0.013978016804794465,10
development,0.0,0.75,CLS,ridge,N_long_C1,-0.004674828958704449,0.0018348042281989812,10
development,0.0,0.75,J,ols_raw,M,-0.004927775869828239,0.003966714303009979,10
development,0.0,0.75,J,ols_raw,N,0.18471778876093273,0.013978210209240232,10
development,0.0,0.75,J,ols_raw,N_long_C1,-0.004675049930762238,0.0018348871825710493,10
development,0.0,0.75,J,ols_std,M,-0.004927775869828248,0.003966714303009971,10
development,0.0,0.75,J,ols_std,N,0.1847177887609327,0.013978210209240227,10
development,0.0,0.75,J,ols_std,N_long_C1,-0.0046750499307622465,0.0018348871825710413,10
development,0.0,0.75,J,ridge,M,-0.004927630217075616,0.003966667351719992,10
development,0.0,0.75,J,ridge,N,0.18471788841425665,0.013978016804794465,10
development,0.0,0.75,J,ridge,N_long_C1,-0.004674828958704449,0.0018348042281989812,10
development,0.0,0.75,P,ols_raw,M,-0.004927775869828248,0.003966714303009983,10
development,0.0,0.75,P,ols_raw,N,0.18471778876093276,0.013978210209240194,10
development,0.0,0.75,P,ols_raw,N_long_C1,-0.0046750499307622465,0.0018348871825710523,10
development,0.0,0.75,P,ols_std,M,-0.004927775869828248,0.003966714303009979,10
development,0.0,0.75,P,ols_std,N,0.18471778876093276,0.013978210209240203,10
development,0.0,0.75,P,ols_std,N_long_C1,-0.0046750499307622526,0.0018348871825710489,10
development,0.0,0.75,P,ridge,M,-0.004926611411451112,0.003966338994612422,10
development,0.0,0.75,P,ridge,N,0.1847185425234406,0.013976662871209767,10
development,0.0,0.75,P,ridge,N_long_C1,-0.004673283368496297,0.0018342239753045815,10
development,0.0,0.75,R,ols_raw,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.75,R,ols_raw,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.75,R,ols_raw,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.75,R,ols_std,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.75,R,ols_std,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.75,R,ols_std,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.75,R,ridge,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.75,R,ridge,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.75,R,ridge,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,1.0,ALL,ols_std,M,-0.004941009188857587,0.003985948911405716,10
development,0.0,1.0,ALL,ols_std,N,0.27630090987706324,0.007832130992489358,10
development,0.0,1.0,ALL,ols_std,N_long_C1,-0.0047972635568614645,0.001819065799212042,10
development,0.0,1.0,ALL,ridge,M,-0.004940880188965692,0.003985907474519426,10
development,0.0,1.0,ALL,ridge,N,0.2763011638819607,0.007831696869605055,10
development,0.0,1.0,ALL,ridge,N_long_C1,-0.004797047297933484,0.001818993042432419,10
development,0.0,1.0,CLS,ols_std,M,-0.004941009188857585,0.0039859489114057265,10
development,0.0,1.0,CLS,ols_std,N,0.2763009098770632,0.00783213099248935,10
development,0.0,1.0,CLS,ols_std,N_long_C1,-0.004797263556861471,0.0018190657992120268,10
development,0.0,1.0,CLS,ridge,M,-0.00494086406548175,0.003985902295453792,10
development,0.0,1.0,CLS,ridge,N,0.27630119550223736,0.007831642617368113,10
development,0.0,1.0,CLS,ridge,N_long_C1,-0.0047970202682390455,0.0018189839487146905,10
development,0.0,1.0,J,ols_raw,M,-0.004941009188857591,0.003985948911405721,10
development,0.0,1.0,J,ols_raw,N,0.2763009098770633,0.00783213099248938,10
development,0.0,1.0,J,ols_raw,N_long_C1,-0.004797263556861467,0.0018190657992120322,10
development,0.0,1.0,J,ols_std,M,-0.004941009188857585,0.0039859489114057265,10
development,0.0,1.0,J,ols_std,N,0.2763009098770632,0.00783213099248935,10
development,0.0,1.0,J,ols_std,N_long_C1,-0.004797263556861471,0.0018190657992120268,10
development,0.0,1.0,J,ridge,M,-0.00494086406548175,0.003985902295453792,10
development,0.0,1.0,J,ridge,N,0.27630119550223736,0.007831642617368113,10
development,0.0,1.0,J,ridge,N_long_C1,-0.0047970202682390455,0.0018189839487146905,10
development,0.0,1.0,P,ols_raw,M,-0.004941009188857596,0.003985948911405715,10
development,0.0,1.0,P,ols_raw,N,0.27630090987706324,0.007832130992489328,10
development,0.0,1.0,P,ols_raw,N_long_C1,-0.004797263556861469,0.0018190657992120372,10
development,0.0,1.0,P,ols_std,M,-0.004941009188857597,0.003985948911405716,10
development,0.0,1.0,P,ols_std,N,0.2763009098770632,0.007832130992489328,10
development,0.0,1.0,P,ols_std,N_long_C1,-0.004797263556861459,0.0018190657992120456,10
development,0.0,1.0,P,ridge,M,-0.004939848958704119,0.003985576258379977,10
development,0.0,1.0,P,ridge,N,0.27630312924838685,0.007828230598125381,10
development,0.0,1.0,P,ridge,N_long_C1,-0.004795318593557888,0.0018184114382769822,10
development,0.0,1.0,R,ols_raw,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,1.0,R,ols_raw,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,1.0,R,ols_raw,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,1.0,R,ols_std,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,1.0,R,ols_std,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,1.0,R,ols_std,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,1.0,R,ridge,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,1.0,R,ridge,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,1.0,R,ridge,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.25,0.0,ALL,ols_std,M,0.1956850716048224,0.02175480475502292,10
development,0.25,0.0,ALL,ols_std,N,-0.04039164367702062,0.04247851626557822,10
development,0.25,0.0,ALL,ols_std,N_long_C1,-0.03480375643217165,0.012136861288945575,10
development,0.25,0.0,ALL,ridge,M,0.14659343447326695,0.020571745566896293,10
development,0.25,0.0,ALL,ridge,N,-0.02316086958504773,0.018136960310735462,10
development,0.25,0.0,ALL,ridge,N_long_C1,-0.02107176487886179,0.010974605848330286,10
development,0.25,0.0,CLS,ols_std,M,-0.010424594104180172,0.004147385358716678,10
development,0.25,0.0,CLS,ols_std,N,-0.011127503012338683,0.012912304613311446,10
development,0.25,0.0,CLS,ols_std,N_long_C1,-0.014489788008559023,0.00565130276348768,10
development,0.25,0.0,CLS,ridge,M,-0.005885877893762598,0.004330562423196854,10
development,0.25,0.0,CLS,ridge,N,-0.006127045863090678,0.007911920833268892,10
development,0.25,0.0,CLS,ridge,N_long_C1,-0.006876545507926964,0.0029704311195719426,10
development,0.25,0.0,J,ols_raw,M,-0.010424594104163555,0.004147385358710819,10
development,0.25,0.0,J,ols_raw,N,-0.011127503012365769,0.012912304613309557,10
development,0.25,0.0,J,ols_raw,N_long_C1,-0.014489788008537655,0.005651302763475483,10
development,0.25,0.0,J,ols_std,M,-0.010424594104180172,0.004147385358716678,10
development,0.25,0.0,J,ols_std,N,-0.011127503012338683,0.012912304613311446,10
development,0.25,0.0,J,ols_std,N_long_C1,-0.014489788008559023,0.00565130276348768,10
development,0.25,0.0,J,ridge,M,-0.005885877893762598,0.004330562423196854,10
development,0.25,0.0,J,ridge,N,-0.006127045863090678,0.007911920833268892,10
development,0.25,0.0,J,ridge,N_long_C1,-0.006876545507926964,0.0029704311195719426,10
development,0.25,0.0,P,ols_raw,M,-0.004617578300846922,0.004282989927214649,10
development,0.25,0.0,P,ols_raw,N,-0.004150610019705998,0.005024774407904258,10
development,0.25,0.0,P,ols_raw,N_long_C1,-0.005229308099724664,0.0020170299917405972,10
development,0.25,0.0,P,ols_std,M,-0.004617578300846914,0.004282989927214647,10
development,0.25,0.0,P,ols_std,N,-0.004150610019705977,0.0050247744079042565,10
development,0.25,0.0,P,ols_std,N_long_C1,-0.005229308099724662,0.0020170299917405946,10
development,0.25,0.0,P,ridge,M,-0.004616571671667784,0.004282520970929074,10
development,0.25,0.0,P,ridge,N,-0.004149336624564807,0.005022859845941347,10
development,0.25,0.0,P,ridge,N_long_C1,-0.0052272650801463445,0.002016286762071763,10
development,0.25,0.0,R,ols_raw,M,0.20608863164619007,0.02146123326144615,10
development,0.25,0.0,R,ols_raw,N,-0.015379123074777961,0.012652454840553317,10
development,0.25,0.0,R,ols_raw,N_long_C1,-0.014207233143118453,0.0057953907510766576,10
development,0.25,0.0,R,ols_std,M,0.2060886316461276,0.02146123326145764,10
development,0.25,0.0,R,ols_std,N,-0.015379123074768236,0.012652454840549531,10
development,0.25,0.0,R,ols_std,N_long_C1,-0.014207233143124684,0.005795390751089641,10
development,0.25,0.0,R,ridge,M,0.1529195203514323,0.019376071842888108,10
development,0.25,0.0,R,ridge,N,-0.010359390588010631,0.009099195624807403,10
development,0.25,0.0,R,ridge,N_long_C1,-0.00938322297389812,0.004820839509470551,10
development,0.25,0.25,ALL,ols_std,M,0.19535430845564322,0.022021678544045454,10
