bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.25,0.75,J,ols_raw,M,0.2838304835914366,0.03743729956802613,10
development,0.25,0.75,J,ols_raw,N,0.9999999915752383,1.1214189588308485e-08,10
development,0.25,0.75,J,ols_raw,N_long_C1,0.22742929756867322,0.033583737622752165,10
development,0.25,0.75,J,ols_std,M,0.2838304836063294,0.03743729957906717,10
development,0.25,0.75,J,ols_std,N,0.9999999915752383,1.1214189588308485e-08,10
development,0.25,0.75,J,ols_std,N_long_C1,0.2274292975682788,0.033583737618156105,10
development,0.25,0.75,J,ridge,M,0.011989978791336753,0.010581209638780358,10
development,0.25,0.75,J,ridge,N,0.999295296353673,0.0003042558497703548,10
development,0.25,0.75,J,ridge,N_long_C1,-0.017252102861833332,0.010461071639706174,10
development,0.25,0.75,P,ols_raw,M,-0.0055856433322446246,0.004130969009783505,10
development,0.25,0.75,P,ols_raw,N,1.0,0.0,10
development,0.25,0.75,P,ols_raw,N_long_C1,-0.011866542031255907,0.010851553607435591,10
