bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,20000,30000,0.0,0.75,P,ols_raw,-0.0029708432853672467,0.0009805143162231942,1.0,1.0,-0.009099633910641336,-0.005147739044787658,-0.00867947011456228,-0.009207692212142491,-0.005836210955441882,0.004162140887733579,0.017543859649122806,12
development,20000,30000,0.0,0.75,J,ridge,-0.00413867267863017,0.00012560854547486296,0.999759980523158,0.999759980523158,-0.009966943502219541,-0.0052910928259636515,-0.009193092405606744,-0.009151384532148074,-0.005187433878052705,0.003922269295957315,0.017543859649122806,72
development,20000,30000,0.0,0.75,J,ols_std,-0.0052859101781243135,0.0,1.0,1.0,-0.011035648554032421,-0.0058651882527315695,-0.009961949819847247,-0.009644122216296746,-0.005240159331758661,0.004559932444465924,0.017543859649122806,72
development,20000,30000,0.0,0.75,J,ols_raw,-0.005285910178124187,0.0,1.0,1.0,-0.011035648554032515,-0.005865188252731551,-0.009961949819847216,-0.009644122216296727,-0.005240159331758772,0.004559932444466284,0.017543859649122806,72
development,20000,30000,0.0,0.75,ALL,ridge,-0.004278528194516795,3.249387869952436e-05,0.9998475514838768,0.9998475514838768,-0.010088649276075529,-0.0053585526245695375,-0.009283843909390077,-0.009199101436140226,-0.0051730519217003485,0.0038939396263314966,0.017543859649122806,95
development,20000,30000,0.0,0.75,ALL,ols_std,-0.00528591017812149,0.0,1.0,1.0,-0.011035648554043792,-0.00586518825273713,-0.00996194981984674,-0.009644122216291245,-0.0052401593317798105,0.004559932444421696,0.017543859649122806,95
development,20000,30000,0.0,0.75,CLS,ridge,-0.004717295561996737,0.0,0.9999529819841397,0.9999529819841397,-0.010497099551993091,-0.00556739285085218,-0.009576980836365098,-0.009375050267988242,-0.0051710022898394286,0.003970722682893909,0.017543859649122806,132
development,20000,30000,0.0,0.75,CLS,ols_std,-0.005285910178124504,0.0,1.0,1.0,-0.01103564855403244,-0.005865188252731579,-0.009961949819847207,-0.009644122216296751,-0.005240159331758661,0.004559932444465786,0.017543859649122806,132
development,20000,30000,0.0,1.0,R,ridge,-0.0009626280786888383,0.0004589716178261697,-0.0014792519646790552,0.0,-0.0056779212363266,-0.0015239388831213886,-0.003710229983937651,-0.00581447506913053,-0.007382722246823663,0.002848857284982572,0.0043859649122807015,11
development,20000,30000,0.0,1.0,R,ols_std,-0.0009627007477807568,0.0004589733850109491,-0.0014793787757193904,0.0,-0.005678114832629903,-0.0015240915732516874,-0.003710447610538324,-0.00581462753217238,-0.007382874645637101,0.0028489520741112884,0.0043859649122807015,11
development,20000,30000,0.0,1.0,R,ols_raw,-0.0009627007477869107,0.00045897338500498563,-0.0014793787757168737,0.0,-0.005678114832635907,-0.0015240915732520066,-0.003710447610539303,-0.005814627532170676,-0.007382874645649851,0.002848952074110924,0.0043859649122807015,11
development,20000,30000,0.0,1.0,P,ridge,-0.00272000197009094,0.000880417933238929,0.9504126695889621,0.9504126695889621,-0.008356490885791046,-0.004546540779763714,-0.007564095735264965,-0.008477552192110351,-0.005959357687096138,0.004927234784851117,0.013157894736842105,12
development,20000,30000,0.0,1.0,P,ols_std,-0.002970843285367088,0.0009805143162232577,1.0,1.0,-0.009099633910641355,-0.005147739044787644,-0.008679470114562207,-0.009207692212142548,-0.005836210955441956,0.004162140887733716,0.017543859649122806,12
development,20000,30000,0.0,1.0,P,ols_raw,-0.0029708432853672467,0.0009805143162231625,1.0,1.0,-0.009099633910641466,-0.005147739044787704,-0.008679470114562247,-0.009207692212142567,-0.005836210955442067,0.004162140887733759,0.017543859649122806,12
development,20000,30000,0.0,1.0,J,ridge,-0.004735421288890056,0.0,0.9999625560244526,0.9999625560244526,-0.010518277069435561,-0.005586992763925718,-0.009591455727584988,-0.009385924719718965,-0.005169770002612854,0.003982732754360823,0.017543859649122806,72
development,20000,30000,0.0,1.0,J,ols_std,-0.00528591017812425,0.0,1.0,1.0,-0.011035648554032662,-0.005865188252731644,-0.00996194981984724,-0.009644122216296699,-0.005240159331758957,0.004559932444466284,0.017543859649122806,72
development,20000,30000,0.0,1.0,J,ols_raw,-0.005285910178124282,0.0,1.0,1.0,-0.011035648554032515,-0.005865188252731589,-0.009961949819847207,-0.009644122216296737,-0.005240159331758735,0.004559932444465786,0.017543859649122806,72
development,20000,30000,0.0,1.0,ALL,ridge,-0.004809171251790113,0.0,0.9999719087396297,0.9999719087396297,-0.01058637539236923,-0.005627847245732416,-0.00964212777621177,-0.009420152046577633,-0.005174252468671092,0.004071497485562199,0.017543859649122806,95
development,20000,30000,0.0,1.0,ALL,ols_std,-0.005285910178114702,0.0,1.0,1.0,-0.011035648554043875,-0.005865188252740174,-0.009961949819851792,-0.00964412221628662,-0.005240159331789747,0.004559932444374678,0.017543859649122806,95
development,20000,30000,0.0,1.0,CLS,ridge,-0.005034651245480986,0.0,0.9999907285756616,0.9999907285756616,-0.010800100423613226,-0.005738549875801344,-0.009793612980862485,-0.009523355769009546,-0.005199109635838343,0.004315957255387016,0.017543859649122806,132
development,20000,30000,0.0,1.0,CLS,ols_std,-0.005285910178124409,0.0,1.0,1.0,-0.011035648554032532,-0.005865188252731625,-0.009961949819847176,-0.009644122216296692,-0.005240159331758698,0.004559932444465924,0.017543859649122806,132
development,20000,30000,0.25,0.0,R,ridge,0.14181997274424346,0.14299043678381246,0.00014801732621805286,0.00046374488379519185,-0.010086645860408508,-0.0040939005923308625,-0.006076414729309991,-0.007270260011510162,-0.012768045413641219,0.006004719764939755,0.008771929824561403,11
development,20000,30000,0.25,0.0,R,ols_std,0.2985688288479028,0.3004464012850318,-0.004201703991762118,0.0,-0.015686351693422345,-0.00775963825683261,0.01967131177920049,-0.011710105216252858,-0.021723704857565213,0.010378798334743318,0.013157894736842105,11
development,20000,30000,0.25,0.0,R,ols_raw,0.29856882884790276,0.3004464012850304,-0.004201703991761896,0.0,-0.015686351693423205,-0.007759638256832614,0.019671311779200524,-0.01171010521625225,-0.021723704857566584,0.010378798334742239,0.013157894736842105,11
development,20000,30000,0.25,0.0,P,ridge,-0.0009626583547550638,0.00045897235528594545,-0.001479304799665071,0.0,-0.005678001896908823,-0.0015240025002034863,-0.0037103206561323715,-0.005814538591527648,-0.007382785742471698,0.0028488967807772745,0.0043859649122807015,12
development,20000,30000,0.25,0.0,P,ols_std,-0.0009627007477866886,0.00045897338500517596,-0.0014793787757169479,0.0,-0.005678114832635889,-0.0015240915732519418,-0.003710447610539097,-0.005814627532170665,-0.007382874645649813,0.002848952074111326,0.0043859649122807015,12
development,20000,30000,0.25,0.0,P,ols_raw,-0.0009627007477866569,0.00045897338500520767,-0.0014793787757169479,0.0,-0.005678114832635907,-0.0015240915732519557,-0.003710447610539113,-0.00581462753217065,-0.007382874645649851,0.002848952074111326,0.0043859649122807015,12
development,20000,30000,0.25,0.0,J,ridge,-0.000836058823896305,0.0035823006840776583,0.3297933501898897,0.33332037290317235,-0.011843121576129564,-0.003233212088060766,-0.00490493750725137,-0.00832476521460491,-0.013668437534028058,0.006224527485250713,0.008771929824561403,72
development,20000,30000,0.25,0.0,J,ols_std,0.06746769550635293,0.0734498330942691,0.32474255089172327,0.3333333218137187,-0.016868291882151592,-0.006451297560117193,-0.008412121124860283,-0.011701368289613693,-0.02194198974112882,0.006146537646494944,0.013157894736842105,72
development,20000,30000,0.25,0.0,J,ols_raw,0.06746769550635716,0.07344983309426727,0.3247425508917164,0.3333333218137187,-0.01686829188214854,-0.006451297560117766,-0.008412121124860264,-0.011701368289614099,-0.021941989741123342,0.0061465376464962486,0.013157894736842105,72
development,20000,30000,0.25,0.0,ALL,ridge,0.13918157549370294,0.141950400939077,0.33082954223761324,0.3333251712843223,-0.014544668903066696,-0.005556297442684506,-0.006868034922517312,-0.009574702070883971,-0.017295563092620442,0.0068120399678530275,0.013157894736842105,95
development,20000,30000,0.25,0.0,ALL,ols_std,0.4501253929092102,0.45762713116866144,0.3275153539689405,0.3333333331073903,-0.02485907459430345,-0.013608168989595784,0.04321272392132204,-0.02007249795139813,-0.0257445815456183,0.010443858843577512,0.03070175438596491,95
development,20000,30000,0.25,0.0,CLS,ridge,0.000445197381152023,0.004928792508729415,0.3300509825589357,0.333325912247549,-0.012642078988329586,-0.0033873227585012136,-0.005122938342344139,-0.008615275811979975,-0.014891862376913608,0.0062793477256977166,0.013157894736842105,132
development,20000,30000,0.25,0.0,CLS,ols_std,0.06746769550635892,0.07344983309426441,0.3247425508917246,0.3333333218137187,-0.016868291882141267,-0.006451297560117771,-0.008412121124861663,-0.011701368289614109,-0.021941989741112833,0.0061465376464919464,0.013157894736842105,132
development,20000,30000,0.25,0.25,R,ridge,0.14181997274424346,0.14299043678381246,0.00014801732621805286,0.00046374488379519185,-0.010086645860408508,-0.0040939005923308625,-0.006076414729309991,-0.007270260011510162,-0.012768045413641219,0.006004719764939755,0.008771929824561403,11
development,20000,30000,0.25,0.25,R,ols_std,0.2985688288479028,0.3004464012850318,-0.004201703991762118,0.0,-0.015686351693422345,-0.00775963825683261,0.01967131177920049,-0.011710105216252858,-0.021723704857565213,0.010378798334743318,0.013157894736842105,11
development,20000,30000,0.25,0.25,R,ols_raw,0.29856882884790276,0.3004464012850304,-0.004201703991761896,0.0,-0.015686351693423205,-0.007759638256832614,0.019671311779200524,-0.01171010521625225,-0.021723704857566584,0.010378798334742239,0.013157894736842105,11
development,20000,30000,0.25,0.25,P,ridge,-0.0024076950503116707,0.0007534526532424797,0.7062677751395766,0.7062677751395766,-0.007389648004619285,-0.003606466400192026,-0.0058787734365271516,-0.007485943791377694,-0.006174001653004357,0.0050031093553738705,0.0043859649122807015,12
development,20000,30000,0.25,0.25,P,ols_std,-0.0029708432853670563,0.0009805143162231308,1.0,1.0,-0.009099633910641308,-0.005147739044787737,-0.008679470114562104,-0.009207692212142668,-0.005836210955441863,0.004162140887734119,0.017543859649122806,12
development,20000,30000,0.25,0.25,P,ols_raw,-0.002970843285367183,0.0009805143162231942,1.0,1.0,-0.009099633910641483,-0.005147739044787704,-0.008679470114562335,-0.009207692212142501,-0.005836210955441956,0.004162140887733579,0.017543859649122806,12
development,20000,30000,0.25,0.25,J,ridge,-0.000733012253740609,0.004422108917582356,0.9904957190104996,0.9904957190104996,-0.014771643407898207,-0.005860899494882781,-0.008913466212944072,-0.010603261814946042,-0.013029531427944144,0.0039297219492952454,0.013157894736842105,72
development,20000,30000,0.25,0.25,J,ols_std,0.2729158339578001,0.28991723533070396,0.9999999942073701,0.9999999942073701,0.20833832907948954,-0.030588938136951488,0.0034414010525217037,-0.045432078217849114,0.48193286929689466,-0.0013745890073827054,0.02631578947368421,72
development,20000,30000,0.25,0.25,J,ols_raw,0.27291583394900887,0.289917235319605,0.9999999942073701,0.9999999942073701,0.20833832906149632,-0.03058893813046798,0.003441401043393355,-0.04543207821540491,0.4819328692637381,-0.0013745890240460517,0.02631578947368421,72
development,20000,30000,0.25,0.25,ALL,ridge,0.13751413348304203,0.14139954856016962,0.9940075882852625,0.9940075882852625,-0.017224397929002072,-0.008252959933305576,-0.010802431547271467,-0.011864914027844967,-0.01606545318871505,0.004976688455755582,0.017543859649122806,95
development,20000,30000,0.25,0.25,ALL,ols_std,0.5239884810099199,0.5453036109656083,1.0,1.0,0.34345965263409167,-0.0425611145148733,0.021590209454250765,-0.05794145029133157,0.7644148111196807,-0.007294169385414669,0.05263157894736842,95
development,20000,30000,0.25,0.25,CLS,ridge,0.002099494880990181,0.007511521565314301,0.9966825932678267,0.9966825932678267,-0.01588552563736838,-0.00620655255791482,-0.009368534193648229,-0.010990779403303405,-0.013890891145659353,0.0043290946286425585,0.017543859649122806,132
development,20000,30000,0.25,0.25,CLS,ols_std,0.2854972348695903,0.3025245233622454,0.9999999947303749,0.9999999947303749,0.22021775809906377,-0.032301305632154005,0.003839201609388237,-0.04648701618063119,0.5119165391555937,-0.002298366195323364,0.02631578947368421,132
development,20000,30000,0.25,0.5,R,ridge,0.14181997274424346,0.14299043678381246,0.00014801732621805286,0.00046374488379519185,-0.010086645860408508,-0.0040939005923308625,-0.006076414729309991,-0.007270260011510162,-0.012768045413641219,0.006004719764939755,0.008771929824561403,11
development,20000,30000,0.25,0.5,R,ols_std,0.2985688288479028,0.3004464012850318,-0.004201703991762118,0.0,-0.015686351693422345,-0.00775963825683261,0.01967131177920049,-0.011710105216252858,-0.021723704857565213,0.010378798334743318,0.013157894736842105,11
